Ticker;Date;Stock close;Stock net;Percentage change;Stock open;Low;High
SP500;03-okt-2023;4.229,4530;-58,9377;-1,3744%;4.229,4530;4.229,4530;4.229,4530
SP500;02-okt-2023;4.288,3907;+0,3366;+0,0078%;4.288,3907;4.288,3907;4.288,3907
SP500;29-sep-2023;4.288,0541;-11,6479;-0,2709%;4.288,0541;4.288,0541;4.288,0541
SP500;28-sep-2023;4.299,7020;+25,1926;+0,5894%;4.299,7020;4.299,7020;4.299,7020
SP500;27-sep-2023;4.274,5094;+0,9811;+0,0230%;4.274,5094;4.274,5094;4.274,5094
SP500;26-sep-2023;4.273,5283;-63,9167;-1,4736%;4.273,5283;4.273,5283;4.273,5283
SP500;25-sep-2023;4.337,4450;+17,3879;+0,4025%;4.337,4450;4.337,4450;4.337,4450
SP500;22-sep-2023;4.320,0571;-9,9478;-0,2297%;4.320,0571;4.320,0571;4.320,0571
SP500;21-sep-2023;4.330,0049;-72,1986;-1,6401%;4.330,0049;4.330,0049;4.330,0049
SP500;20-sep-2023;4.402,2035;-41,7440;-0,9393%;4.402,2035;4.402,2035;4.402,2035
SP500;19-sep-2023;4.443,9475;-9,5863;-0,2153%;4.443,9475;4.443,9475;4.443,9475
SP500;18-sep-2023;4.453,5338;+3,2175;+0,0723%;4.453,5338;4.453,5338;4.453,5338
SP500;15-sep-2023;4.450,3163;-54,7800;-1,2160%;4.450,3163;4.450,3163;4.450,3163
SP500;14-sep-2023;4.505,0963;+37,6544;+0,8429%;4.505,0963;4.505,0963;4.505,0963
SP500;13-sep-2023;4.467,4419;+5,5370;+0,1241%;4.467,4419;4.467,4419;4.467,4419
SP500;12-sep-2023;4.461,9049;-25,5590;-0,5696%;4.461,9049;4.461,9049;4.461,9049
SP500;11-sep-2023;4.487,4639;+29,9746;+0,6725%;4.487,4639;4.487,4639;4.487,4639
SP500;08-sep-2023;4.457,4893;+6,3513;+0,1427%;4.457,4893;4.457,4893;4.457,4893
SP500;07-sep-2023;4.451,1380;-14,3468;-0,3213%;4.451,1380;4.451,1380;4.451,1380
SP500;06-sep-2023;4.465,4848;-31,3425;-0,6970%;4.465,4848;4.465,4848;4.465,4848
SP500;05-sep-2023;4.496,8273;-18,9401;-0,4194%;4.496,8273;4.496,8273;4.496,8273
SP500;01-sep-2023;4.515,7674;+8,1056;+0,1798%;4.515,7674;4.515,7674;4.515,7674
SP500;31-aug-2023;4.507,6618;-7,2035;-0,1596%;4.507,6618;4.507,6618;4.507,6618
SP500;30-aug-2023;4.514,8653;+17,2336;+0,3832%;4.514,8653;4.514,8653;4.514,8653
SP500;29-aug-2023;4.497,6317;+64,3261;+1,4510%;4.497,6317;4.497,6317;4.497,6317
SP500;28-aug-2023;4.433,3056;+27,5999;+0,6265%;4.433,3056;4.433,3056;4.433,3056
SP500;25-aug-2023;4.405,7057;+29,3908;+0,6716%;4.405,7057;4.405,7057;4.405,7057
SP500;24-aug-2023;4.376,3149;-59,6968;-1,3457%;4.376,3149;4.376,3149;4.376,3149
SP500;23-aug-2023;4.436,0117;+48,4630;+1,1046%;4.436,0117;4.436,0117;4.436,0117
SP500;22-aug-2023;4.387,5487;-12,2204;-0,2778%;4.387,5487;4.387,5487;4.387,5487
SP500;21-aug-2023;4.399,7691;+30,0576;+0,6879%;4.399,7691;4.399,7691;4.399,7691
SP500;18-aug-2023;4.369,7115;-0,6486;-0,0148%;4.369,7115;4.369,7115;4.369,7115
SP500;17-aug-2023;4.370,3601;-33,9734;-0,7714%;4.370,3601;4.370,3601;4.370,3601
SP500;16-aug-2023;4.404,3335;-33,5255;-0,7554%;4.404,3335;4.404,3335;4.404,3335
SP500;15-aug-2023;4.437,8590;-51,8593;-1,1551%;4.437,8590;4.437,8590;4.437,8590
SP500;14-aug-2023;4.489,7183;+25,6637;+0,5749%;4.489,7183;4.489,7183;4.489,7183
SP500;11-aug-2023;4.464,0546;-4,7802;-0,1070%;4.464,0546;4.464,0546;4.464,0546
SP500;10-aug-2023;4.468,8348;+1,1207;+0,0251%;4.468,8348;4.468,8348;4.468,8348
SP500;09-aug-2023;4.467,7141;-31,6632;-0,7037%;4.467,7141;4.467,7141;4.467,7141
SP500;08-aug-2023;4.499,3773;-19,0661;-0,4220%;4.499,3773;4.499,3773;4.499,3773
SP500;07-aug-2023;4.518,4434;+40,4096;+0,9024%;4.518,4434;4.518,4434;4.518,4434
SP500;04-aug-2023;4.478,0338;-23,8519;-0,5298%;4.478,0338;4.478,0338;4.478,0338
SP500;03-aug-2023;4.501,8857;-11,5082;-0,2550%;4.501,8857;4.501,8857;4.501,8857
SP500;02-aug-2023;4.513,3939;-63,3353;-1,3839%;4.513,3939;4.513,3939;4.513,3939
SP500;01-aug-2023;4.576,7292;-12,2319;-0,2666%;4.576,7292;4.576,7292;4.576,7292
SP500;31-jul-2023;4.588,9611;+6,7298;+0,1469%;4.588,9611;4.588,9611;4.588,9611
SP500;28-jul-2023;4.582,2313;+44,8194;+0,9878%;4.582,2313;4.582,2313;4.582,2313
SP500;27-jul-2023;4.537,4119;-29,3398;-0,6425%;4.537,4119;4.537,4119;4.537,4119
SP500;26-jul-2023;4.566,7517;-0,7120;-0,0156%;4.566,7517;4.566,7517;4.566,7517
SP500;25-jul-2023;4.567,4637;+12,8213;+0,2815%;4.567,4637;4.567,4637;4.567,4637
SP500;24-jul-2023;4.554,6424;+18,3039;+0,4035%;4.554,6424;4.554,6424;4.554,6424
SP500;21-jul-2023;4.536,3385;+1,4709;+0,0324%;4.536,3385;4.536,3385;4.536,3385
SP500;20-jul-2023;4.534,8676;-30,8491;-0,6757%;4.534,8676;4.534,8676;4.534,8676
SP500;19-jul-2023;4.565,7167;+10,7398;+0,2358%;4.565,7167;4.565,7167;4.565,7167
SP500;18-jul-2023;4.554,9769;+32,1838;+0,7116%;4.554,9769;4.554,9769;4.554,9769
SP500;17-jul-2023;4.522,7931;+17,3728;+0,3856%;4.522,7931;4.522,7931;4.522,7931
SP500;14-jul-2023;4.505,4203;-4,6215;-0,1025%;4.505,4203;4.505,4203;4.505,4203
SP500;13-jul-2023;4.510,0418;+37,8815;+0,8471%;4.510,0418;4.510,0418;4.510,0418
SP500;12-jul-2023;4.472,1603;+32,9040;+0,7412%;4.472,1603;4.472,1603;4.472,1603
SP500;11-jul-2023;4.439,2563;+29,7305;+0,6742%;4.439,2563;4.439,2563;4.439,2563
SP500;10-jul-2023;4.409,5258;+10,5731;+0,2404%;4.409,5258;4.409,5258;4.409,5258
SP500;07-jul-2023;4.398,9527;-12,6380;-0,2865%;4.398,9527;4.398,9527;4.398,9527
SP500;06-jul-2023;4.411,5907;-35,2341;-0,7923%;4.411,5907;4.411,5907;4.411,5907
SP500;05-jul-2023;4.446,8248;-8,7691;-0,1968%;4.446,8248;4.446,8248;4.446,8248
SP500;03-jul-2023;4.455,5939;+5,2126;+0,1171%;4.455,5939;4.455,5939;4.455,5939
SP500;30-jun-2023;4.450,3813;+53,9379;+1,2269%;4.450,3813;4.450,3813;4.450,3813
SP500;29-jun-2023;4.396,4434;+19,5797;+0,4473%;4.396,4434;4.396,4434;4.396,4434
SP500;28-jun-2023;4.376,8637;-1,5416;-0,0352%;4.376,8637;4.376,8637;4.376,8637
SP500;27-jun-2023;4.378,4053;+49,5837;+1,1454%;4.378,4053;4.378,4053;4.378,4053
SP500;26-jun-2023;4.328,8216;-19,5091;-0,4487%;4.328,8216;4.328,8216;4.328,8216
SP500;23-jun-2023;4.348,3307;-33,5598;-0,7659%;4.348,3307;4.348,3307;4.348,3307
SP500;22-jun-2023;4.381,8905;+16,2007;+0,3711%;4.381,8905;4.381,8905;4.381,8905
SP500;21-jun-2023;4.365,6898;-23,0200;-0,5245%;4.365,6898;4.365,6898;4.365,6898
SP500;20-jun-2023;4.388,7098;-20,8846;-0,4736%;4.388,7098;4.388,7098;4.388,7098
SP500;16-jun-2023;4.409,5944;-16,2499;-0,3672%;4.409,5944;4.409,5944;4.409,5944
SP500;15-jun-2023;4.425,8443;+53,2549;+1,2179%;4.425,8443;4.425,8443;4.425,8443
SP500;14-jun-2023;4.372,5894;+3,5830;+0,0820%;4.372,5894;4.372,5894;4.372,5894
SP500;13-jun-2023;4.369,0064;+30,0720;+0,6931%;4.369,0064;4.369,0064;4.369,0064
SP500;12-jun-2023;4.338,9344;+40,0771;+0,9323%;4.338,9344;4.338,9344;4.338,9344
SP500;09-jun-2023;4.298,8573;+4,9295;+0,1148%;4.298,8573;4.298,8573;4.298,8573
SP500;08-jun-2023;4.293,9278;+26,4093;+0,6188%;4.293,9278;4.293,9278;4.293,9278
SP500;07-jun-2023;4.267,5185;-16,3299;-0,3812%;4.267,5185;4.267,5185;4.267,5185
SP500;06-jun-2023;4.283,8484;+10,0542;+0,2353%;4.283,8484;4.283,8484;4.283,8484
SP500;05-jun-2023;4.273,7942;-8,5714;-0,2002%;4.273,7942;4.273,7942;4.273,7942
SP500;02-jun-2023;4.282,3656;+61,3454;+1,4533%;4.282,3656;4.282,3656;4.282,3656
SP500;01-jun-2023;4.221,0202;+41,1947;+0,9856%;4.221,0202;4.221,0202;4.221,0202
SP500;31-mei-2023;4.179,8255;-25,6952;-0,6110%;4.179,8255;4.179,8255;4.179,8255
SP500;30-mei-2023;4.205,5207;+0,0682;+0,0016%;4.205,5207;4.205,5207;4.205,5207
SP500;26-mei-2023;4.205,4525;+54,1726;+1,3050%;4.205,4525;4.205,4525;4.205,4525
SP500;25-mei-2023;4.151,2799;+36,0413;+0,8758%;4.151,2799;4.151,2799;4.151,2799
SP500;24-mei-2023;4.115,2386;-30,3366;-0,7318%;4.115,2386;4.115,2386;4.115,2386
SP500;23-mei-2023;4.145,5752;-47,0555;-1,1223%;4.145,5752;4.145,5752;4.145,5752
SP500;22-mei-2023;4.192,6307;+0,6509;+0,0155%;4.192,6307;4.192,6307;4.192,6307
SP500;19-mei-2023;4.191,9798;-6,0711;-0,1446%;4.191,9798;4.191,9798;4.191,9798
SP500;18-mei-2023;4.198,0509;+39,2801;+0,9445%;4.198,0509;4.198,0509;4.198,0509
SP500;17-mei-2023;4.158,7708;+48,8738;+1,1892%;4.158,7708;4.158,7708;4.158,7708
SP500;16-mei-2023;4.109,8970;-26,3872;-0,6379%;4.109,8970;4.109,8970;4.109,8970
SP500;15-mei-2023;4.136,2842;+12,2032;+0,2959%;4.136,2842;4.136,2842;4.136,2842
SP500;12-mei-2023;4.124,0810;-6,5403;-0,1583%;4.124,0810;4.124,0810;4.124,0810
SP500;11-mei-2023;4.130,6213;-7,0209;-0,1697%;4.130,6213;4.130,6213;4.130,6213
SP500;10-mei-2023;4.137,6422;+18,4688;+0,4484%;4.137,6422;4.137,6422;4.137,6422
SP500;09-mei-2023;4.119,1734;-18,9496;-0,4579%;4.119,1734;4.119,1734;4.119,1734
SP500;08-mei-2023;4.138,1230;+1,8696;+0,0452%;4.138,1230;4.138,1230;4.138,1230
SP500;05-mei-2023;4.136,2534;+75,0365;+1,8476%;4.136,2534;4.136,2534;4.136,2534
SP500;04-mei-2023;4.061,2169;-29,5353;-0,7220%;4.061,2169;4.061,2169;4.061,2169
SP500;03-mei-2023;4.090,7522;-28,8282;-0,6998%;4.090,7522;4.090,7522;4.090,7522
SP500;02-mei-2023;4.119,5804;-48,2865;-1,1585%;4.119,5804;4.119,5804;4.119,5804
SP500;01-mei-2023;4.167,8669;-1,6145;-0,0387%;4.167,8669;4.167,8669;4.167,8669
SP500;28-apr-2023;4.169,4814;+34,1292;+0,8253%;4.169,4814;4.169,4814;4.169,4814
SP500;27-apr-2023;4.135,3522;+79,3644;+1,9567%;4.135,3522;4.135,3522;4.135,3522
SP500;26-apr-2023;4.055,9878;-15,6426;-0,3842%;4.055,9878;4.055,9878;4.055,9878
SP500;25-apr-2023;4.071,6304;-65,4142;-1,5812%;4.071,6304;4.071,6304;4.071,6304
SP500;24-apr-2023;4.137,0446;+3,5233;+0,0852%;4.137,0446;4.137,0446;4.137,0446
SP500;21-apr-2023;4.133,5213;+3,7289;+0,0903%;4.133,5213;4.133,5213;4.133,5213
SP500;20-apr-2023;4.129,7924;-24,7266;-0,5952%;4.129,7924;4.129,7924;4.129,7924
SP500;19-apr-2023;4.154,5190;-0,3511;-0,0085%;4.154,5190;4.154,5190;4.154,5190
